Department,Service Code,Service Name,Amount,Workflow Type
PROCEDURE,Proc-0001,Adhesionlysis of uterus or cervix,80000,PROCEDURE
PROCEDURE,Proc-0002,Amputation and/or joint disarticulation,150000,PROCEDURE
PROCEDURE,Proc-0003,Anaesthetic fee Intermediate,20000,PROCEDURE
PROCEDURE,Proc-0004,Anaesthetic fee Minor,10000,PROCEDURE
PROCEDURE,Proc-0005,Anaesthetic Major (General Anaesthesia),35000,PROCEDURE
PROCEDURE,Proc-0006,Anal Sphincterectomy,1,PROCEDURE
PROCEDURE,Proc-0007,"ANC Booking- booking test, Reg and booking consult",5000,PROCEDURE
PROCEDURE,Proc-0008,"ANC Booking test-HIV, PCV,VDRL,HBV,HCV,Urinalysis,blood group",1,PROCEDURE
PROCEDURE,Proc-0009,"ANC Booking test-HIV, PCV,VDRL,HBV,HCV,Urinalysis,blood group",1,PROCEDURE
PROCEDURE,Proc-0010,Ante Natal Card (6weeks after Delivery Validity),1,PROCEDURE
PROCEDURE,Proc-0011,Appendicectomy (Uncomplicated),70000,PROCEDURE
PROCEDURE,Proc-0012,Appendicectomy (complicated),135000,PROCEDURE
PROCEDURE,Proc-0013,Assisted Breech delivery (Block),40000,PROCEDURE
PROCEDURE,Proc-0014,Assisted delivery -Vacuum delivery,20000,PROCEDURE
PROCEDURE,Proc-0015,Augumentation Labour,5000,PROCEDURE
PROCEDURE,Proc-0016,Bilateral tube Ligation (Elective),120000,PROCEDURE
PROCEDURE,Proc-0017,BilateralTubal ligation during CS,30000,PROCEDURE
PROCEDURE,Proc-0018,Biopsy of superfial mass,20000,PROCEDURE
PROCEDURE,Proc-0019,Biopsy of breast,35000,PROCEDURE
PROCEDURE,Proc-0020,Biopsy of prostate,65000,PROCEDURE
PROCEDURE,Proc-0021,Biopsy of the bone tumour (Block fee),50000,PROCEDURE
PROCEDURE,Proc-0022,Biopsy Of Tumour Of Abdominal Wall (Block fee),1,PROCEDURE
PROCEDURE,Proc-0023,Birth Before Arrival care,10000,PROCEDURE
PROCEDURE,Proc-0024,Birth Certificate,1000,PROCEDURE
PROCEDURE,Proc-0025,BLOOD TRANSFUSION (OUTSOURCED) X1 POSITIVE UNIT,44500,PROCEDURE
PROCEDURE,Proc-0026,Bone grafting,100000,PROCEDURE
PROCEDURE,Proc-0027,Bone marrow biopsy (Block fee),50000,PROCEDURE
PROCEDURE,Proc-0028,Bowel resection & Anastomosis,250000,PROCEDURE
PROCEDURE,Proc-0029,Breast Lump Excision (Block fee),50000,PROCEDURE
PROCEDURE,Proc-0030,Bronchooscopy (Block fee),1,PROCEDURE
PROCEDURE,Proc-0031,Caesarian section (previous Scar) booked case,200000,PROCEDURE
PROCEDURE,Proc-0032,Caesarian section (previous Scar) Unbooked case,230000,PROCEDURE
PROCEDURE,Proc-0033,Caesarian section(First cs or without previous Scar) Booked,180000,PROCEDURE
PROCEDURE,Proc-0034,Caesarian section(First cs or without previous scar) unbooked,200000,PROCEDURE
PROCEDURE,Proc-0035,Cardiotocography (CTG),1,PROCEDURE
PROCEDURE,Proc-0036,Catheterisation Of Urinary Bladder + Urine Bag,3000,PROCEDURE
PROCEDURE,Proc-0037,Cautherization,1,PROCEDURE
PROCEDURE,Proc-0038,Certificate of medical fitness(Excluding Relevant Test),5000,PROCEDURE
PROCEDURE,Proc-0039,Cervical Circlage insertion Surgery,50000,PROCEDURE
PROCEDURE,Proc-0040,Cervical Circlage removal,10000,PROCEDURE
PROCEDURE,Proc-0041,Cervical polypectomy,200000,PROCEDURE
PROCEDURE,Proc-0042,Cervical repair,40000,PROCEDURE
PROCEDURE,Proc-0043,Cholecystectomy,1,PROCEDURE
PROCEDURE,Proc-0044,Circumcision Of Male Baby(Local),7500,PROCEDURE
PROCEDURE,Proc-0045,Circumcision Of Male Baby(Plastible),5000,PROCEDURE
PROCEDURE,Proc-0046,Closed reduction only,50000,PROCEDURE
PROCEDURE,Proc-0047,Consultation after 1week,1,PROCEDURE
PROCEDURE,Proc-0048,Correction of Duputyren Contracture,1,PROCEDURE
PROCEDURE,Proc-0049,Crutches/Walking frame,1,PROCEDURE
PROCEDURE,Proc-0050,Cystourethroscopy,120000,PROCEDURE
PROCEDURE,Proc-0051,Death Certificate,4000,PROCEDURE
PROCEDURE,Proc-0052,Double bed ward - (Private),8000,PROCEDURE
PROCEDURE,Proc-0053,Drainage of Anal Abscess,30000,PROCEDURE
PROCEDURE,Proc-0054,Drainage of Septic arthritis (Block fee),70000,PROCEDURE
PROCEDURE,Proc-0055,Drainage of whitlow (Block fee),5000,PROCEDURE
PROCEDURE,Proc-0056,Ear Piercing For Female Baby,2500,PROCEDURE
PROCEDURE,Proc-0057,Ectopic Pregnancy,150000,PROCEDURE
PROCEDURE,Proc-0058,Emmergency Consultation,1,PROCEDURE
PROCEDURE,Proc-0059,Episiotomy,10000,PROCEDURE
PROCEDURE,Proc-0060,EUA,35000,PROCEDURE
PROCEDURE,Proc-0061,Evacuation of retained product of conception,20000,PROCEDURE
PROCEDURE,Proc-0062,"Exchange Blood Transfussion (Rh +Ve, Inclusive Of Materials)",20000,PROCEDURE
PROCEDURE,Proc-0063,"Exchange Blood Transfussion (Rh -Ve, Inclusive Of Materials)",20000,PROCEDURE
PROCEDURE,Proc-0064,Excison of intrascrotal mass,90000,PROCEDURE
PROCEDURE,Proc-0065,Family Card (2yrs Duration),1,PROCEDURE
